Index,question,answer
1,"hi, how are you doing?",i'm fine. how about yourself?
2,i'm fine. how about yourself?,i'm pretty good. thanks for asking.
3,i'm pretty good. thanks for asking.,no problem. so how have you been?
4,no problem. so how have you been?,i've been great. what about you?
5,i've been great. what about you?,i've been good. i'm in school right now.
6,i've been good. i'm in school right now.,what school do you go to?
7,what school do you go to?,i go to pcc.
8,i go to pcc.,do you like it there?
9,do you like it there?,it's okay. it's a really big campus.
10,it's okay. it's a really big campus.,good luck with school.
11,good luck with school.,thank you very much.
12,how's it going?,i'm doing well. how about you?
13,i'm doing well. how about you?,"never better, thanks."
14,"never better, thanks.",so how have you been lately?
15,so how have you been lately?,i've actually been pretty good. you?
16,i've actually been pretty good. you?,i'm actually in school right now.
17,i'm actually in school right now.,which school do you attend?
18,which school do you attend?,i'm attending pcc right now.
19,i'm attending pcc right now.,are you enjoying it there?
20,are you enjoying it there?,it's not bad. there are a lot of people there.
21,it's not bad. there are a lot of people there.,good luck with that.
22,good luck with that.,thanks.
23,how are you doing today?,i'm doing great. what about you?
24,i'm doing great. what about you?,"i'm absolutely lovely, thank you."
25,"i'm absolutely lovely, thank you.",everything's been good with you?
26,everything's been good with you?,i haven't been better. how about yourself?
27,i haven't been better. how about yourself?,i started school recently.
28,i started school recently.,where are you going to school?
29,where are you going to school?,i'm going to pcc.
30,i'm going to pcc.,how do you like it so far?
31,how do you like it so far?,i like it so far. my classes are pretty good right now.
32,i like it so far. my classes are pretty good right now.,i wish you luck.
33,it's an ugly day today.,i know. i think it may rain.
34,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today."
35,"it's the middle of summer, it shouldn't rain today.",that would be weird.
36,that would be weird.,"yeah, especially since it's ninety degrees outside."
37,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside."
38,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be."
39,"yes, it would be.",i really wish it wasn't so hot every day.
40,i really wish it wasn't so hot every day.,me too. i can't wait until winter.
41,me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold."
42,"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.
43,i'd rather be cold than hot.,me too.
44,it doesn't look very nice outside today.,you're right. i think it's going to rain later.
45,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
46,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
47,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
48,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
49,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
50,"i know, you're absolutely right.",i wish it would cool off one day.
51,i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
52,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
53,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
54,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
55,i wish it was a nicer day today.,that is true. i hope it doesn't rain.
56,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
57,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
58,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
59,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
60,any rain right now would be pointless.,"that's right, it really would be."
61,"that's right, it really would be.",i want it to cool down some.
62,i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
63,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
64,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
65,it's such a nice day.,"yes, it is."
66,"yes, it is.",it looks like it may rain soon.
67,it looks like it may rain soon.,"yes, and i hope that it does."
68,"yes, and i hope that it does.",why is that?
69,why is that?,i really love how rain clears the air.
70,i really love how rain clears the air.,me too. it always smells so fresh after it rains.
71,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
72,"yes, but i love the night air after it rains.",really? why is it?
73,really? why is it?,because you can see the stars perfectly.
74,because you can see the stars perfectly.,i really hope it rains today.
75,i really hope it rains today.,"yeah, me too."
76,isn't it a nice day?,it really is.
77,it really is.,it seems that it may rain today.
78,it seems that it may rain today.,hopefully it will.
79,hopefully it will.,how come?
80,how come?,i like how clear the sky gets after it rains.
81,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
82,i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
83,i especially love the night air when it rains.,really? why?
84,really? why?,the stars look so much closer after it rains.
85,the stars look so much closer after it rains.,i really want it to rain today.
86,i really want it to rain today.,"yeah, so do i."
87,don't you think it's nice out?,"yes, i think so too."
88,"yes, i think so too.",i think that it's going to rain.
89,i think that it's going to rain.,i hope that it does rain.
90,i hope that it does rain.,you like the rain?
91,you like the rain?,the sky looks so clean after it rains. i love it.
92,the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
93,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
94,i love most how it is at night after it rains.,how come?
95,how come?,you can see the stars so much more clearly after it rains.
96,you can see the stars so much more clearly after it rains.,i would love for it to rain today.
97,i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?
98,that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.
99,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
100,is it going to be perfect beach weather?,i believe so.
101,i believe so.,good. i hope it doesn't cool off this weekend.
102,good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
